J,"McPherson, M; Smith-Lovin, L; Cook, JM",Birds of a feather: Homophily in social networks,ANNUAL REVIEW OF SOCIOLOGY,2001,"Similarity breeds connection. This principle-the homophily principle-structures network ties of every type, including marriage, friendship, work, advice, support, information transfer, exchange, comembership, and other types of relationship. The result is that people's personal networks are homogeneous with regard to many sociodemographic, behavioral, and intrapersonal characteristics. Homophily limits people's social worlds in a way that has powerful implications for the information they receive, the attitudes they form, and the interactions they experience. Homophily in race and ethnicity creates the strongest divides in our personal environments, with age, religion, education, occupation, and gender following in roughly that order. Geographic propinquity, families, organizations, and isomorphic positions in social systems all create contexts in which homophilous relations form. Ties between nonsimilar individuals also dissolve at a higher rate, which sets the stage for the formation of niches (localized positions) within social space. We argue for more research on: (a) the basic ecological processes that link organizations, associations, cultural communities, social movements, and many other social forms; (b) the impact of multiplex ties on the patterns of homophily; and (c) the dynamics of network change over time through which networks and other social entities co-evolve.",5671,0360-0572,WOS:000170748100017,common
J,"IBARRA, H",HOMOPHILY AND DIFFERENTIAL RETURNS - SEX-DIFFERENCES IN NETWORK STRUCTURE AND ACCESS IN AN ADVERTISING FIRM,ADMINISTRATIVE SCIENCE QUARTERLY,1992,"This paper argues that two network mechanisms operate to create and reinforce gender inequalities in the organizational distribution of power: sex differences in homophily (i.e., tendency to form same-sex network relationships) and in the ability to convert individual attributes and positional resources into network advantages. These arguments were tested in a network analytic study of men's and women's interaction patterns in an advertising firm. Men were more likely to form homophilous ties across multiple networks and to have stronger homophilous ties, while women evidenced a differentiated network pattern in which they obtained social support and friendship from women and instrumental access through network ties to men. Although centrality in organization-wide networks did not vary by sex once controls were instituted, relative to women, men appeared to reap greater network returns from similar individual and positional resources, as well as from homophilous relationships.",846,0001-8392,WOS:A1992JP39100003,common
J,"KANDEL, DB","HOMOPHILY, SELECTION, AND SOCIALIZATION IN ADOLESCENT FRIENDSHIPS",AMERICAN JOURNAL OF SOCIOLOGY,1978,,818,0002-9602,WOS:A1978FR88700011,common
J,"MCPHERSON, JM; SMITHLOVIN, L",HOMOPHILY IN VOLUNTARY ORGANIZATIONS - STATUS DISTANCE AND THE COMPOSITION OF FACE-TO-FACE GROUPS,AMERICAN SOCIOLOGICAL REVIEW,1987,,477,0003-1224,WOS:A1987M029000007,common
J,"Ruef, M; Aldrich, HE; Carter, NM","The structure of founding teams: Homophily, strong ties, and isolation among US entrepreneur",AMERICAN SOCIOLOGICAL REVIEW,2003,"The mechanisms governing the composition of formal social groups (e.g., task groups, organizational founding teams) remain poorly understood, owing to (1) a lack of representative sampling from groups found in the general population, (2) a ""success"" bias among researchers that leads them to consider only those groups that actually emerge and survive, and (3) a restrictive focus on some theorized mechanisms of group composition (e.g., homophily) to the exclusion of others. These shortcomings are addressed by analyzing a unique, representative data set of organizational founding teams sampled from the U.S. population. Rather than simply considering the properties of those founding teams that are empirically observed, a novel quantitative methodology generates the distribution of all possible teams, based on combinations of individual and relational characteristics. This methodology permits the exploration of five mechanisms of group composition-those based on homophily. functionality, status expectations, network constraint, and ecological constraint. Findings suggest that homophily and network constraints based on strong ties have the most pronounced effect on group composition. Social isolation (i.e., exclusion from a group) is more likely to occur as a result of ecological constraints on the availability of similar alters in a locality than as a result of status-varying membership choices.",451,0003-1224,WOS:000222054000002,common
J,"Chu, Shu-Chuan; Kim, Yoojung",Determinants of consumer engagement in electronic word-of-mouth (eWOM) in social networking sites,INTERNATIONAL JOURNAL OF ADVERTISING,2011,"As more and more marketers incorporate social media as an integral part of the promotional mix., rigorous investigation of the determinants that impact consumers' engagement in eWOM via social networks is becoming critical. Given the social and communal characteristics of social networking sites (SNSs) such as Faeebook, My Space and Friendster, this study examines how social relationship factors relate to eWOM transmitted via online social websites. Specifically, a conceptual model that identifies tie strength, homophily, trust, normative and informational interpersonal influence as an important antecedent to eWOM behaviour in SNSs was developed and tested. The results confirm that tie strength, trust, normative and informational influence are positively associated with users' overall eWOM behaviour, whereas a negative relationship was found with regard to homophily. This study suggests that product-focused eWOM in SNSs is a unique phenomenon with important social implications. The implications for researchers, practitioners and policy makers of social media regulation are discussed.",420,0265-0487,WOS:000289587400004,common
J,"Prell, Christina; Reed, Mark; Racin, Liat; Hubacek, Klaus","Competing Structure, Competing Views: The Role of Formal and Informal Social Structures in Shaping Stakeholder Perceptions",ECOLOGY AND SOCIETY,2010,"What is social structure, and how does it influence the views and behaviors of land managers? In this paper, we unpack the term ""social structure"" in the context of current research on institutions, social networks, and their role(s) in resource management. We identify two different kinds of structure, formal and informal, and explore how these link to views of land management and management practice. Formal structures refer to intentionally designed organizations that arise out of larger institutional arrangements; informal ones refer to social networks, based on the communication contacts individuals possess. Our findings show significant correlations between respondents' views regarding land management and their social networks; it is these informal structures that have greater influence on what stakeholders perceive. These findings suggest that stakeholders are less influenced by their particular organizational affiliation or category (e.g., ""conservationist"" versus ""farmer""), and more by whom they speak with on a regular basis regarding land management. We conclude with a discussion on the practical implications for resource managers wishing to ""design"" participatory management, arguing that, if ""diversity"" is the goal in designing such participatory processes, then diversity needs to translate beyond stakeholder categories to include consideration for the personal, social networks surrounding stakeholders.",309,1708-3087,WOS:000285917100028,common
S,"Rivera, Mark T.; Soderstrom, Sara B.; Uzzi, Brian","Dynamics of Dyads in Social Networks: Assortative, Relational, and Proximity Mechanisms","ANNUAL REVIEW OF SOCIOLOGY, VOL 36",2010,"Embeddedness in social networks is increasingly seen as a root cause of human achievement, social stratification, and actor behavior. In this article, we review sociological research that examines the processes through which dyadic ties form, persist, and dissolve. Three sociological mechanisms are overviewed: assortative mechanisms that draw attention to the role of actors' attributes, relational mechanisms that emphasize the influence of existing relationships and network positions, and proximity mechanisms that focus on the social organization of interaction.",266,0360-0572,WOS:000281254500005,common
J,"Rivera, Lauren A.",Hiring as Cultural Matching: The Case of Elite Professional Service Firms,AMERICAN SOCIOLOGICAL REVIEW,2012,"This article presents culture as a vehicle of labor market sorting. Providing a case study of hiring in elite professional service firms, I investigate the often suggested but heretofore empirically unexamined hypothesis that cultural similarities between employers and job candidates matter for employers' hiring decisions. Drawing from 120 interviews with employers as well as participant observation of a hiring committee, I argue that hiring is more than just a process of skills sorting; it is also a process of cultural matching between candidates, evaluators, and firms. Employers sought candidates who were not only competent but also culturally similar to themselves in terms of leisure pursuits, experiences, and self-presentation styles. Concerns about shared culture were highly salient to employers and often outweighed concerns about absolute productivity. I unpack the interpersonal processes through which cultural similarities affected candidate evaluation in elite firms and provide the first empirical demonstration that shared culture-particularly in the form of lifestyle markers-matters for employer hiring. I conclude by discussing the implications for scholarship on culture, inequality, and labor markets.",250,0003-1224,WOS:000311683200007,common
J,"Handcock, Mark S.; Raftery, Adrian E.; Tantrum, Jeremy M.",Model-based clustering for social networks,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,2007,"Network models are widely used to represent relations between interacting units or actors. Network data often exhibit transitivity, meaning that two actors that have ties to a third actor are more likely to be tied than actors that do not, homophily by attributes of the actors or dyads, and clustering. Interest often focuses on finding clusters of actors or ties, and the number of groups in the data is typically unknown. We propose a new model, the latent position cluster model, under which the probability of a tie between two actors depends on the distance between them in an unobserved Euclidean 'social space', and the actors' locations in the latent social space arise from a mixture of distributions, each corresponding to a cluster. We propose two estimation methods: a two-stage maximum likelihood method and a fully Bayesian method that uses Markov chain Monte Carlo sampling. The former is quicker and simpler, but the latter performs better. We also propose a Bayesian way of determining the number of clusters that are present by using approximate conditional Bayes factors. Our model represents transitivity, homophily by attributes and clustering simultaneously and does not require the number of clusters to be known. The model makes it easy to simulate realistic networks with clustering, which are potentially useful as inputs to models of more complex systems of which the network is part, such as epidemic models of infectious disease. We apply the model to two networks of social relations. A free software package in the R statistical language, latentnet, is available to analyse data by using the model.",240,0964-1998,WOS:000245628500004,common
