PT,Author,Title,Publication,Year,Abstract,Citation Count,Sn,Id
J,"McPherson, M; Smith-Lovin, L; Cook, JM",Birds of a feather: Homophily in social networks,ANNUAL REVIEW OF SOCIOLOGY,2001,"Similarity breeds connection. This principle-the homophily principle-structures network ties of every type, including marriage, friendship, work, advice, support, information transfer, exchange, comembership, and other types of relationship. The result is that people's personal networks are homogeneous with regard to many sociodemographic, behavioral, and intrapersonal characteristics. Homophily limits people's social worlds in a way that has powerful implications for the information they receive, the attitudes they form, and the interactions they experience. Homophily in race and ethnicity creates the strongest divides in our personal environments, with age, religion, education, occupation, and gender following in roughly that order. Geographic propinquity, families, organizations, and isomorphic positions in social systems all create contexts in which homophilous relations form. Ties between nonsimilar individuals also dissolve at a higher rate, which sets the stage for the formation of niches (localized positions) within social space. We argue for more research on: (a) the basic ecological processes that link organizations, associations, cultural communities, social movements, and many other social forms; (b) the impact of multiplex ties on the patterns of homophily; and (c) the dynamics of network change over time through which networks and other social entities co-evolve.",5671,0360-0572,WOS:000170748100017
J,"IBARRA, H",HOMOPHILY AND DIFFERENTIAL RETURNS - SEX-DIFFERENCES IN NETWORK STRUCTURE AND ACCESS IN AN ADVERTISING FIRM,ADMINISTRATIVE SCIENCE QUARTERLY,1992,"This paper argues that two network mechanisms operate to create and reinforce gender inequalities in the organizational distribution of power: sex differences in homophily (i.e., tendency to form same-sex network relationships) and in the ability to convert individual attributes and positional resources into network advantages. These arguments were tested in a network analytic study of men's and women's interaction patterns in an advertising firm. Men were more likely to form homophilous ties across multiple networks and to have stronger homophilous ties, while women evidenced a differentiated network pattern in which they obtained social support and friendship from women and instrumental access through network ties to men. Although centrality in organization-wide networks did not vary by sex once controls were instituted, relative to women, men appeared to reap greater network returns from similar individual and positional resources, as well as from homophilous relationships.",846,0001-8392,WOS:A1992JP39100003
J,"WELLMAN, B; WORTLEY, S",DIFFERENT STROKES FROM DIFFERENT FOLKS - COMMUNITY TIES AND SOCIAL SUPPORT,AMERICAN JOURNAL OF SOCIOLOGY,1990,,846,0002-9602,WOS:A1990EL67800002
J,"KANDEL, DB","HOMOPHILY, SELECTION, AND SOCIALIZATION IN ADOLESCENT FRIENDSHIPS",AMERICAN JOURNAL OF SOCIOLOGY,1978,,818,0002-9602,WOS:A1978FR88700011
J,"Watts, Duncan J.; Dodds, Peter Sheridan","Influentials, networks, and public opinion formation",JOURNAL OF CONSUMER RESEARCH,2007,"A central idea in marketing and diffusion research is that influentials-a minority of individuals who influence an exceptional number of their peers-are important to the formation of public opinion. Here we examine this idea, which we call the ""influentials hypothesis,"" using a series of computer simulations of interpersonal influence processes. Under most conditions that we consider, we find that large cascades of influence are driven not by influentials but by a critical mass of easily influenced individuals. Although our results do not exclude the possibility that influentials can be important, they suggest that the influentials hypothesis requires more careful specification and testing than it has received.",737,0093-5301,WOS:000252244200002
J,"Sorenson, O; Stuart, TE",Syndication networks and the spatial distribution of venture capital investments,AMERICAN JOURNAL OF SOCIOLOGY,2001,"Sociological investigations of economic exchange reveal how institutions and social structures shape transaction patterns among economic actors. This article explores how interfirm networks in the U.S. venture capital (VC) market affect spatial patterns of exchange. Evidence suggests that information about potential investment opportunities generally circulates within geographic and industry spaces. In turn, the circumscribed flow of information within these spaces contributes to the geographic- and industry-localization of VC investments. Empirical analyses demonstrate that the social networks in the VC community-built up through the industry's extensive use of syndicated investing-diffuse information across boundaries and therefore expand the spatial radius of exchange. Venture capitalists that build axial positions in the industry's coinvestment network invest more frequently in spatially distant companies. Thus, variation in actors' positioning within the structure of the market appears to differentiate market participants' ability to overcome boundaries that otherwise would curtail exchange.",697,0002-9602,WOS:000171446800002
J,"Kossinets, G; Watts, DJ",Empirical analysis of an evolving social network,SCIENCE,2006,"Social networks evolve over time, driven by the shared activities and affiliations of their members, by similarity of individuals' attributes, and by the closure of short network cycles. We analyzed a dynamic social network comprising 43,553 students, faculty, and staff at a large university, in which interactions between individuals are inferred from time-stamped e-mail headers recorded over one academic year and are matched with affiliations and attributes. We found that network evolution is dominated by a combination of effects arising from network topology itself and the organizational. structure in which the network is embedded. In the absence of global perturbations, average network properties appear to approach an equilibrium state, whereas individual properties are unstable.",689,0036-8075,WOS:000234546300039
J,"KANDEL, DB",DRUG AND DRINKING BEHAVIOR AMONG YOUTH,ANNUAL REVIEW OF SOCIOLOGY,1980,,549,0360-0572,WOS:A1980KD94900008
J,"ZENGER, TR; LAWRENCE, BS",ORGANIZATIONAL DEMOGRAPHY - THE DIFFERENTIAL-EFFECTS OF AGE AND TENURE DISTRIBUTIONS ON TECHNICAL COMMUNICATION,ACADEMY OF MANAGEMENT JOURNAL,1989,,537,0001-4273,WOS:A1989U759400005
J,"MCPHERSON, JM; SMITHLOVIN, L",HOMOPHILY IN VOLUNTARY ORGANIZATIONS - STATUS DISTANCE AND THE COMPOSITION OF FACE-TO-FACE GROUPS,AMERICAN SOCIOLOGICAL REVIEW,1987,,477,0003-1224,WOS:A1987M029000007
