PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"HANNAN, MT; FREEMAN, J",,,,"HANNAN, MT; FREEMAN, J",,,POPULATION ECOLOGY OF ORGANIZATIONS,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9602,,,,,,1977,82,5,,,,,929,964,,10.1086/226424,,,,,,,WOS:A1977DA15400001,,,,,
J,"Sampson, RJ; Morenoff, JD; Gannon-Rowley, T",,,,"Sampson, RJ; Morenoff, JD; Gannon-Rowley, T",,,"Assessing ""neighborhood effects"": Social processes and new directions in research",ANNUAL REVIEW OF SOCIOLOGY,,,,,,,,,,,,"This paper assesses and synthesizes the cumulative results of a new ""neighborhood-effects"" literature that examines social processes related to problem behaviors and health-related outcomes. Our review identified over 40 relevant studies published in peer-reviewed journals from the mid-1990s to 2001, the take-off point for an increasing level of interest in neighborhood effects. Moving beyond traditional characteristics such as concentrated poverty, we evaluate the salience of social-interactional and institutional mechanisms hypothesized to account for neighborhood-level variations in a variety of phenomena (e.g., delinquency, violence, depression, high-risk behavior), especially among adolescents. We highlight neighborhood ties, social control, mutual trust, institutional resources, disorder, and routine activity patterns. We also discuss a set of thorny methodological problems that plague the study of neighborhood effects, with special attention to selection bias. We conclude with promising strategies and directions for future research, including experimental designs, taking spatial and temporal dynamics seriously, systematic observational approaches, and benchmark data on neighborhood social processes.",,,,"Morenoff, Jeffrey/E-9800-2015","Morenoff, Jeffrey/0000-0002-8146-8590",,,,,,,,,,,,0360-0572,,,,,,2002,28,,,,,,443,478,,10.1146/annurev.soc.28.110601.141114,,,,,,,WOS:000178324200018,,,,,
J,"SAMPSON, RJ; GROVES, WB",,,,"SAMPSON, RJ; GROVES, WB",,,COMMUNITY STRUCTURE AND CRIME - TESTING SOCIAL-DISORGANIZATION THEORY,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9602,,,,,JAN,1989,94,4,,,,,774,802,,10.1086/229068,,,,,,,WOS:A1989T085200004,,,,,
J,"Burt, RS",,,,"Burt, RS",,,Structural holes and good ideas,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,"This article outlines the mechanism by which brokerage provides social capital. Opinion and behavior are more homogeneous within than between groups, so people connected across groups are more familiar with alternative ways of thinking and behaving. Brokerage across the structural holes between groups provides a vision of options otherwise unseen, which is the mechanism by which brokerage becomes social capital. I review evidence consistent with the hypothesis, then look at the networks around managers in a large American electronics company. The organization is rife with structural holes, and brokerage has its expected correlates. Compensation, positive performance evaluations, promotions, and good ideas are disproportionately in the hands of people whose networks span structural holes. The between-group brokers are more likely to express ideas, less likely to have ideas dismissed, and more likely to have ideas evaluated as valuable. I close with implications for creativity and structural change.",,,,,,,,,,,,,,,,,0002-9602,1537-5390,,,,SEP,2004,110,2,,,,,349,399,,10.1086/421787,,,,,,,WOS:000224063900003,,,,,
J,"Woolcock, M",,,,"Woolcock, M",,,Social capital and economic development: Toward a theoretical synthesis and policy framework,THEORY AND SOCIETY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0304-2421,1573-7853,,,,APR,1998,27,2,,,,,151,208,,10.1023/A:1006884930135,,,,,,,WOS:000072692100001,,,,,
J,"Boyd, D; Crawford, K",,,,"Boyd, Danah; Crawford, Kate",,,"CRITICAL QUESTIONS FOR BIG DATA Provocations for a cultural, technological, and scholarly phenomenon",INFORMATION COMMUNICATION & SOCIETY,,,,,,,,,,,,"The era of Big Data has begun. Computer scientists, physicists, economists, mathematicians, political scientists, bio-informaticists, sociologists, and other scholars are clamoring for access to the massive quantities of information produced by and about people, things, and their interactions. Diverse groups argue about the potential benefits and costs of analyzing genetic sequences, social media interactions, health records, phone logs, government records, and other digital traces left by people. Significant questions emerge. Will large-scale search data help us create better tools, services, and public goods? Or will it usher in a new wave of privacy incursions and invasive marketing? Will data analytics help us understand online communities and political movements? Or will it be used to track protesters and suppress speech? Will it transform how we study human communication and culture, or narrow the palette of research options and alter what 'research' means? Given the rise of Big Data as a socio-technical phenomenon, we argue that it is necessary to critically interrogate its assumptions and biases. In this article, we offer six provocations to spark conversations about the issues of Big Data: a cultural, technological, and scholarly phenomenon that rests on the interplay of technology, analysis, and mythology that provokes extensive utopian and dystopian rhetoric.",,,,"PAN, ZEQIANG/X-6341-2018; 白, 纯歌/V-1853-2017",,,,,,,,,,,,,1369-118X,1468-4462,,,,,2012,15,5,,,SI,,662,679,,10.1080/1369118X.2012.678878,,,,,,,WOS:000304470300004,,,,,
B,"Jackson, MO",,,,"Jackson, MO",,,Social and Economic Networks,SOCIAL AND ECONOMIC NETWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-691-13440-6,,,,2008,,,,,,,1,504,,,,,,,,,WOS:000288018200016,,,,,
B,"Sageman, M",,,,"Sageman, M",,,Understanding Terror Networks,UNDERSTANDING TERROR NETWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-8122-3808-2,,,,2004,,,,,,,1,220,,,,,,,,,WOS:000269999900007,,,,,
J,"MARSDEN, PV",,,,"MARSDEN, PV",,,NETWORK DATA AND MEASUREMENT,ANNUAL REVIEW OF SOCIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0360-0572,,,,,,1990,16,,,,,,435,463,,10.1146/annurev.so.16.080190.002251,,,,,,,WOS:A1990DU50000017,,,,,
J,"Opsahl, T; Agneessens, F; Skvoretz, J",,,,"Opsahl, Tore; Agneessens, Filip; Skvoretz, John",,,Node centrality in weighted networks: Generalizing degree and shortest paths,SOCIAL NETWORKS,,,,,,,,,,,,"Ties often have a strength naturally associated with them that differentiate them from each other. Tie strength has been operationalized as weights. A few network measures have been proposed for weighted networks, including three common measures of node centrality: degree, closeness, and betweenness. However, these generalizations have solely focused on tie weights, and not on the number of ties, which was the central component of the original measures. This paper proposes generalizations that combine both these aspects. We illustrate the benefits of this approach by applying one of them to Freeman's EIES dataset. (C) 2010 Elsevier B.V. All rights reserved.",,,,"Opsahl, Tore/C-4533-2011","Opsahl, Tore/0000-0003-0346-8082",,,,,,,,,,,,0378-8733,1879-2111,,,,JUL,2010,32,3,,,,,245,251,,10.1016/j.socnet.2010.03.006,,,,,,,WOS:000279409000009,,,,,
J,"Thoits, PA",,,,"Thoits, Peggy A.",,,Mechanisms Linking Social Ties and Support to Physical and Mental Health,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,,,,,,,,,,,,"Over the past 30 years investigators have called repeatedly for research on the mechanisms through which social relationships and social support improve physical and psychological well-being, both directly and as stress buffers. I describe seven possible mechanisms: social influence/social comparison, social control, role-based purpose and meaning (mattering), self-esteem, sense of control, belonging and companionship, and perceived support availability. Stress-buffering processes also involve these mechanisms. I argue that there are two broad types of support, emotional sustenance and active coping assistance, and two broad categories of supporters, significant others and experientially similar others, who specialize in supplying different types of support to distressed individuals. Emotionally sustaining behaviors and instrumental aid from significant others and empathy, active coping assistance, and role modeling from similar others should be most efficacious in alleviating the physical and emotional impacts of stressors.",,,,,,,,,,,,,,,,,0022-1465,2150-6000,,,,JUN,2011,52,2,,,,,145,161,,10.1177/0022146510395592,,,,,,,WOS:000291611900001,21673143,,,,
B,"Mutz, DC",,,,"Mutz, DC",,,Hearing the Other Side: Deliberative versus Participatory Democracy,HEARING THE OTHER SIDE: DELIBERATIVE VERSUS PARTICIPATORY DEMOCRACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-521-84750-6,,,,2006,,,,,,,1,171,,10.2277/ 0521612284,,,,,,,WOS:000296563600007,,,,,
J,"WHITE, HC; BOORMAN, SA; BREIGER, RL",,,,"WHITE, HC; BOORMAN, SA; BREIGER, RL",,,SOCIAL-STRUCTURE FROM MULTIPLE NETWORKS .1. BLOCKMODELS OF ROLES AND POSITIONS,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,,,,,"McBee, David J/F-3968-2012; Breiger, Ronald/Q-1801-2019","Breiger, Ronald/0000-0003-0575-9211",,,,,,,,,,,,0002-9602,,,,,,1976,81,4,,,,,730,780,,10.1086/226141,,,,,,,WOS:A1976BE28100002,,,,,
J,"Uzzi, B",,,,"Uzzi, B",,,Embeddedness in the making of financial capital: How social relations and networks benefit firms seeking financing,AMERICAN SOCIOLOGICAL REVIEW,,,,,,,,,,,,"I investigate how social embeddedness affects an organization's acquisition and cost of financial capital in middle-market banking-a lucrative but understudied financial sector. Using existing theory and original fieldwork, I develop a framework to explain how embeddedness can influence which firms get capital and at what cost. I then statistically examine my claims using national data on small-business lending. At the level of dyadic ties, I find that firms that embed their commercial transactions with their lender in social attachments receive lower interest rates on loans. Ar the network level, firms are more likely to get loans and to receive lower interest rates on loans if their network of bank ties has a mix of embedded ties and arm S-length ties. These network effects arise because embedded ties motivate network partners to share private resources, while arm's-length ties facilitate access to public information on market prices and loan opportunities so that the benefits of different types of ties are optimized within one network. I conclude with a discussion of how the value produced by a network is at a premium when it creates a bridge that links the public information of markets with the private resources of relationships.",,,,,,,,,,,,,,,,,0003-1224,,,,,AUG,1999,64,4,,,,,481,505,,10.2307/2657252,,,,,,,WOS:000082394000001,,,,,
J,"MARSDEN, PV",,,,"MARSDEN, PV",,,CORE DISCUSSION NETWORKS OF AMERICANS,AMERICAN SOCIOLOGICAL REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003-1224,,,,,FEB,1987,52,1,,,,,122,131,,10.2307/2095397,,,,,,,WOS:A1987G176100010,,,,,
J,"EMIRBAYER, M; GOODWIN, J",,,,"EMIRBAYER, M; GOODWIN, J",,,"NETWORK ANALYSIS, CULTURE, AND THE PROBLEM OF AGENCY",AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,"Network analysis is one of the most promising currents, in sociological research, and yet it has never been subjected to a theoretically informed assessment and critique. This article outlines the theoretical presuppositions of network analysis. It also distinguishes between three different (implicit) models in the network literature of the interrelations of social structure, culture, and human agency. It concludes that only a strategy for historical explanation that synthesizes social structural and cultural analysis can adequately explain the formation, reproduction, and transformation of networks themselves. The article sketches the broad contours of such a theoretical synthesis in the conclusion.",,,,"Fournillier, Janice/C-3577-2008; 白, 纯歌/V-1853-2017",,,,,,,,,,,,,0002-9602,,,,,MAY,1994,99,6,,,,,1411,1454,,10.1086/230450,,,,,,,WOS:A1994PA80700001,,,,,
J,"WELLMAN, B; WORTLEY, S",,,,"WELLMAN, B; WORTLEY, S",,,DIFFERENT STROKES FROM DIFFERENT FOLKS - COMMUNITY TIES AND SOCIAL SUPPORT,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9602,,,,,NOV,1990,96,3,,,,,558,588,,10.1086/229572,,,,,,,WOS:A1990EL67800002,,,,,
J,"Lin, N",,,,"Lin, N",,,Social networks and status attainment,ANNUAL REVIEW OF SOCIOLOGY,,,,,,,,,,,,"This essay traces the development of the research enterprise, known as the social resources theory, which formulated and tested a number of propositions concerning the relationships between embedded resources in social networks and socioeconomic attainment. This enterprise, seen in the light of social capital, has accumulated a substantial body of research literature and supported the proposition that social capital, in terms of both access and mobilization of embedded resources, enhances the chances of attaining better statuses. Further, social capital is contingent on initial positions in the social hierarchies as well as on extensity of social ties. The essay concludes with a discussion of remaining critical issues and future research directions for this research enterprise.",,,,,,,,,,,,,,,,,0360-0572,,,,,,1999,25,,,,,,467,487,,10.1146/annurev.soc.25.1.467,,,,,,,WOS:000082825900019,,,,,
J,"PADGETT, JF; ANSELL, CK",,,,"PADGETT, JF; ANSELL, CK",,,"ROBUST ACTION AND THE RISE OF THE MEDICI, 1400-1434",AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,"We analyze the centralization of political parties and elite networks that underlay the birth of the Renaissance state in Florence. Class revolt and fiscal crisis were the ultimate causes of elite consolidation, but Medicean political control was produced by means of network disjunctures within the elite, which the Medici alone spanned. Cosimo de' Medici's multivocal identity as sphinx harnessed the power available in these network holes and resolved the contradiction between judge and boss inherent in all organizations. Methodologically, we argue that to understand state formation one must penetrate beneath the veneer of formal institutions, groups, and goals down to the relational substrata of peoples' actual lives. Ambiguity and heterogeneity, not planning and self-interest, are the raw materials of which powerful states and persons are constructed.",,,,,,,,,,,,,,,,,0002-9602,,,,,MAY,1993,98,6,,,,,1259,1319,,10.1086/230190,,,,,,,WOS:A1993LE32500001,,,,,
J,"FELD, SL",,,,"FELD, SL",,,THE FOCUSED ORGANIZATION OF SOCIAL TIES,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9602,,,,,,1981,86,5,,,,,1015,1035,,10.1086/227352,,,,,,,WOS:A1981LJ26900005,,,,,
J,"SHAPIRO, SP",,,,"SHAPIRO, SP",,,THE SOCIAL-CONTROL OF IMPERSONAL TRUST,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,,,,,,,,,,,"Osuna, Luis E/A-5858-2010",,,,,,,,,,,,,0002-9602,,,,,NOV,1987,93,3,,,,,623,658,,10.1086/228791,,,,,,,WOS:A1987K785100003,,,,,
