AU,AF,TI,AB,SN,EI,PD,PY,VL,IS,BP,EP,AR,DI,UT
"Nahapiet, J; Ghoshal, S","Nahapiet, J; Ghoshal, S","Social capital, intellectual capital, and the organizational advantage","Scholars of the theory of the firm have begun to emphasize the sources and conditions of what has been described as ""the organizational advantage,"" rather than focus on the causes and consequences of market failure. Typically, researchers see such organizational advantage as accruing from the particular capabilities organizations have for creating and sharing knowledge. In this article we seek to contribute to this body of work by developing the following arguments: (1) social capital facilitates the creation of new intellectual capital: (2) organizations, as institutional settings, are conducive to the development of high levels of social capital: and (3) it is because of their more dense social capital that firms, within certain limits, have an advantage over markets in creating and sharing intellectual capital. We present a model that incorporates this overall argument in the form of a series of hypothesized relationships between different dimensions of social capital and the main mechanisms and processes necessary for the creation of intellectual capital.",0363-7425,,APR,1998,23,2,242,266,,10.2307/259373,WOS:000073127100006
"Adler, PS; Kwon, SW","Adler, PS; Kwon, SW",Social capital: Prospects for a new concept,"A growing number of sociologists, political scientists, economists. and organizational theorists have invoked the concept of social capital in the search for answers to a broadening range of questions being confronted in their own fields. Seeking to clarify the concept and help assess its utility for organizational theory, we synthesize the theoretical research undertaken in these various disciplines and develop a common conceptual framework that identifies the sources, benefits, risks, and contingencies of social capital.",0363-7425,,JAN,2002,27,1,17,40,,10.2307/4134367,WOS:000173232800005
"Ahuja, G","Ahuja, G","Collaboration networks, structural holes, and innovation: A longitudinal study","To assess the effects of a firm's network of relations on innovation, this paper elaborates a theoretical framework that relates three aspects of a firm's ego network-direct ties, indirect ties, and structural holes (disconnections between a firm's partners)-to the firm's subsequent innovation output. It posits that direct and indirect ties both have a positive impact on innovation but that the impact of indirect ties is moderated by the number of a firm's direct ties. Structural holes are proposed to have both positive and negative influences on subsequent innovation. Results from a longitudinal study of firms in the international chemicals industry indicate support for the predictions on direct and indirect ties, but in the interfirm collaboration network, increasing structural holes has a negative effect on innovation. Among the implications for interorganizational network theory is that the optimal structure of interfirm networks depends on the objectives of the network members.",0001-8392,,SEP,2000,45,3,425,455,,10.2307/2667105,WOS:000165346400002
"Gulati, R","Gulati, R",Alliances and networks,"This paper introduces a social network perspective to the study of strategic alliances. It extends prior research, which has primarily considered alliances as dyadic exchanges and paid less attention to the fact that key precursors, processes, and outcomes associated with alliances can be destined and shaped in important ways by the social networks within which most firms are embedded. It identifies Jive key issues for the study of alliances: (1) the formation of alliances, (2) the choice of governance structure, (3) the dynamic evolution of alliances, (4) the performance of alliances, and (5) the performance consequences for firms entering alliances. For each of these issues, this paper outlines some of the current research and debates at the firm and dyad level and then discusses some of the new and important insights that result from introducing a network perspective. It highlights current network research on alliances and suggests an agenda for future research. (C) 1998 John Wiley & Sons, Ltd.",0143-2095,,APR,1998,19,4,293,317,,10.1002/(SICI)1097-0266(199804)19:4<293::AID-SMJ982>3.0.CO;2-M,WOS:000073063000002
"Amit, R; Zott, C","Amit, R; Zott, C",Value creation in e-business,"We explore the theoretical foundations of value creation in e-business by examining how 59 American and European e-businesses that have recently become publicly traded corporations create value. We observe that in e-business new value can be created by the ways in which transactions are enabled. Grounded in the rich data obtained from case study analyses and in the received theory in entrepreneurship and strategic management, we develop a model of the sources of value creation. The model suggests that the value creation potential of e-businesses hinges on four interdependent dimensions, namely: efficiency, complementarities, lock-in, and novelty. Our findings suggest that no single entrepreneurship or strategic management theory can fully explain the value creation potential of e-business. Rather, an, integration of the received theoretical perspectives on value creation is needed. To enable such an integration, we offer the business model construct as a unit of analysis for future research on value creation in e-business. A business model depicts the design of transaction content, structure, and governance so as to create value through the exploitation of business opportunities. We propose that a firm's business model is an important focus of innovation and a crucial source of value creation for the firm and its suppliers, partners, and customers. Copyright (C) 2001 John Wiley & Sons, Ltd.",0143-2095,,JUN-JUL,2001,22,6-7,493,520,,10.1002/smj.187,WOS:000169356000002
"Reagans, R; McEvily, B","Reagans, R; McEvily, B",Network structure and knowledge transfer: The effects of cohesion and range,"This research considers how different features of informal networks affect knowledge transfer. As a complement to previous research that has emphasized the dyadic tie strength component of informal networks, we focus on how network structure influences the knowledge transfer process. We propose that social cohesion around a relationship affects the willingness and motivation of individuals to invest time, energy, and effort in sharing knowledge with others. We further argue that the network range, ties to different knowledge pools, increases a person's ability to convey complex ideas to heterogeneous audiences. We also examine explanations for knowledge transfer based on absorptive capacity, which emphasizes the role of common knowledge, and relational embeddedness, which stresses the importance of tie strength. We investigate the network effect on knowledge transfer using data from a contract R&D firm. The results indicate that both social cohesion and network range ease knowledge transfer, over and above the effect for the strength of the tie between two people. We discuss the implications of these findings for research on effective knowledge transfer, social capital, and information diffusion.",0001-8392,,JUN,2003,48,2,240,267,,10.2307/3556658,WOS:000187529600003
"Burt, RS","Burt, RS",The contingent value of social capital,"I present argument and evidence for a structural ecology of social capital that describes how the value of social capital to an individual is contingent on the number of people doing the same work. The information and control benefits of bridging the structural holes-or, disconnections between nonredundant contacts in a network-that constitute social capital are especially valuable to managers with few peers. Such managers do not have the guiding frame of reference for behavior provided by numerous competitors, and the work they do does not have the legitimacy provided by numerous people doing the same kind of work. I use network and performance data on a probability sample of senior managers to show how the value of social capital, high on average for the managers, varies as a power function of the number of people doing the same work.(.)",0001-8392,,JUN,1997,42,2,339,365,,10.2307/2393923,WOS:A1997XQ02800005
"LARSON, A","LARSON, A",NETWORK DYADS IN ENTREPRENEURIAL SETTINGS - A STUDY OF THE GOVERNANCE OF EXCHANGE RELATIONSHIPS,"Social control in network organizational forms is examined through an inductive field study of a sample of dyadic relationships established by high-growth entrepreneurial firms. The social dimensions of the transactions are central in explaining control and coordination in the exchange structures. A process model of network formation is presented that highlights the importance of reputation, trust, reciprocity, and mutual interdependence. The network form is proposed as an alternative to vertical integration for high-growth entrepreneurial firms. The data also suggest that studying the network form of governance can provide insights into firm growth.",0001-8392,,MAR,1992,37,1,76,104,,10.2307/2393534,WOS:A1992HN86700004
"Yli-Renko, H; Autio, E; Sapienza, HJ","Yli-Renko, H; Autio, E; Sapienza, HJ","Social capital, knowledge acquisition, and knowledge exploitation in young technology-based firms","Employing a sample of 180 entrepreneurial high-technology ventures based in the United Kingdom, we examine the effects of social capital in key customer relationships on knowledge acquisition and knowledge exploitation. Building on the relational view and on social capital and knowledge-based theories, we propose that social capital facilitates external knowledge aquisition in key customer relationships and that such knowledge mediates the relationship between social capital and knowledge exploitation for competitive advantage. Our results indicate that the social interaction and network ties dimensions of social capital are indeed associated with greater knowledge acquisition, but that the relationship quality dimension is negatively associated with knowledge acquisition. Knowledge acquisition is, in turn, positively associated with knowledge exploitation for competitive advantage through new product development, technological distinctiveness, and sales cost efficiency. Further our results provide evidence that knowledge acquisition plays a mediating role between social capital and knowledge exploitation. Copyright (C) 2001 John Wiley & Sons, Ltd.",0143-2095,,JUN-JUL,2001,22,6-7,587,613,,10.1002/smj.183,WOS:000169356000006
"Gulati, R","Gulati, R",Social structure and alliance formation patterns: A longitudinal analysis,This study explores how social structure affects interfirm alliance formation patterns. It proposes that the social context emerging from prior alliances and considerations of strategic interdependence influence partnership decisions between firms. This social network facilitates new alliances by providing valuable information to firms about the specific capabilities and reliability of potential partners. The role of both direct ties between firms and their overall networks were examined with comprehensive longitudinal multi-industry data on the formation of interfirm strategic alliances between 1970 and 1989. Results are consistent with both strategic interdependence and social structural explanations of alliance formation. Support for the interaction of the two sets of factors also emerged. The implications of incorporating both sets of explanations for the formation of interorganizational ties are discussed.,0001-8392,,DEC,1995,40,4,619,652,,10.2307/2393756,WOS:A1995TX68500004
"Borgatti, SP; Foster, PC","Borgatti, SP; Foster, PC",The network paradigm in organizational research: A review and typology,"In this paper, we review and analyze the emerging network paradigm in organizational research. We begin with a conventional review of recent research organized around recognized research streams. Next, we analyze this research, developing a set of dimensions along which network studies vary, including direction of causality, levels of analysis, explanatory goals, and explanatory mechanisms. We use the latter two dimensions to construct a 2-by-2 table cross-classifying studies of network consequences into four canonical types: structural social capital, social access to resources, contagion, and environmental shaping. We note the rise hi popularity of studies with a greater sense of agency than was traditional in network research. (C) 2003 Elsevier Inc. All rights reserved.",0149-2063,1557-1211,,2003,29,6,991,1013,,10.1016/S0149-2063(03)00087-4,WOS:000220184800010
"Levin, DZ; Cross, R","Levin, DZ; Cross, R",The strength of weak ties you can trust: The mediating role of trust in effective knowledge transfer,"Research has demonstrated that relationships are critical to knowledge creation and transfer, yet findings have been mixed regarding the importance of relational and structural characteristics of social capital for the receipt of tacit and explicit knowledge. We propose and test a model of two-party (dyadic) knowledge exchange, with strong support in each of the three companies surveyed. First, the link between strong ties and receipt of useful knowledge (as reported by the knowledge seeker) was mediated by competence- and benevolence-based trust. Second, once we controlled for these two trustworthiness dimensions, the structural benefit of weak ties emerged. This finding is consistent with prior research suggesting that weak ties provide access to non-redundant information. Third, competence-based trust was especially important for the receipt of tacit knowledge. We discuss implications for theory and practice.",0025-1909,,NOV,2004,50,11,1477,1490,,10.1287/mnsc.1030.0136,WOS:000225126600002
"Stuart, TE; Hoang, H; Hybels, RC","Stuart, TE; Hoang, H; Hybels, RC",Interorganizational endorsements and the performance of entrepreneurial ventures,"This paper investigates how the interorganizational networks of young companies affect their ability to acquire the resources necessary for survival and growth. We propose that, faced with great uncertainty about the quality of young companies, third parties rely on the prominence of the affiliates of those companies to make judgments about their quality and that young companies ""endorsed"" by prominent exchange partners will perform better than otherwise comparable ventures that lack prominent associates. Results of an empirical examination of the rate of initial public offering (IPO) and the market capitalization at IPO of the members of a large sample of venture-capital-backed biotechnology firms show that privately held biotech firms with prominent strategic alliance partners and organizational equity investors go to IPO faster and earn greater valuations at IPO than firms that lack such connections. We also empirically demonstrate that much of the benefit of having prominent affiliates stems from the transfer of status that is an inherent byproduct of interorganizational associations.",0001-8392,,JUN,1999,44,2,315,349,,10.2307/2666998,WOS:000081160000004
"Lewicki, RJ; Mcallister, DJ; Bies, RJ","Lewicki, RJ; Mcallister, DJ; Bies, RJ",Trust and distrust: New relationships and realities,"We propose a new theoretical framework for understanding simultaneous trust and distrust within relationships, grounded in assumptions of multidimensionality and the inherent tensions of relationships, and we separate this research from prior work grounded in assumptions of unidimensionality and balance. Drawing foundational support for this new framework from recent research on simultaneous positive and negative sentiments and ambivalence, we explore the theoretical and practical significance of the framework for future work on trust and distrust relationships within organizations.",0363-7425,1930-3807,JUL,1998,23,3,438,458,,10.5465/AMR.1998.926620,WOS:000075127800008
"Brass, DJ; Galaskiewicz, J; Greve, HR; Tsai, WP","Brass, DJ; Galaskiewicz, J; Greve, HR; Tsai, WP",Taking stock of networks and organizations: A multilevel perspective,"The central argument of network research is that actors are embedded in networks of interconnected social. relationships that offer opportunities for and constraints on behavior. We review research on the antecedents and consequences of networks at the interpersonal, interunit, and interorganizational levels of analysis, evaluate recent theoretical and empirical trends, and give directions for future research, highlighting the importance of investigating cross-level network phenomena.",0001-4273,1948-0989,DEC,2004,47,6,795,817,,10.2307/20159624,WOS:000225923700002
