PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Afawubo, K; Couchoro, MK; Agbaglah, M; Gbandi, T",,,,"Afawubo, Komivi; Couchoro, Mawuli K.; Agbaglah, Messan; Gbandi, Tchapo",,,Mobile money adoption and households' vulnerability to shocks: Evidence from Togo,APPLIED ECONOMICS,,,,,,,,,,,,"We investigate the determinants of mobile money adoption process and whether its use helps households in Togo to be resilient to predictable and unpredictable life events. Using ordered logit and sequential logit models, our results show that in the adoption process, households benefit from weak ties of social groups such as religious group and informal saving group for the adoption of mobile money. We equally find that being client of banks or microfinance institutions act as powerful channels from one step to another in the process. Besides, our findings reveal that households whoever use mobile money seem to be more resilient to climatic shocks such as drought, irregular rain, soil degradation, erosion and fertility reduction and to shock that affect households' assets (non-climatic: high prices of agricultural inputs). However, the picture is more contrasted when the individuals are classified by disadvantaged groups such as rural people, women, less educated and people with low incomes.",,,,,,,,,,,,,,,,,0003-6846,1466-4283,,,,,,,,,,,,,,,10.1080/00036846.2019.1659496,,Sep-19,,,,,WOS:000486770100001,,,,,
J,"Peiro-Palomino, J",,,,"Peiro-Palomino, Jesus",,,The geography of social capital and innovation in the European Union,PAPERS IN REGIONAL SCIENCE,,,,,,,,,,,,"This paper assesses the role of the associational activity dimension of social capital in regional innovation for 257 EU 28 regions in the pre-crisis (2000-2007) and the crisis (2008-2012) period. The analysis is carried out using flexible non-parametric kernel regressions, which allow for exploring heterogeneity across space and over time. The results show that effects widely differ across regions, but no differences are found between periods. In particular, the largest effects are found for less developed and transition regions from the periphery. In contrast, for most of the developed regions in the core of Europe the impact is non-significant. These results might be useful for policy design in the H2020 framework.",,,,,,,,,,,,,,,,,1056-8190,1435-5957,,,,FEB,2019,98,1,,,,,53,+,,10.1111/pirs.12337,,,,,,,WOS:000457435800004,,,,,
B,"Sun, TS; Taylor, SJ",,,Assoc Comp Machinery,"Sun, Tianshu; Taylor, Sean J.",,,Displaying Things in Common to Encourage Friendship Formation: A Large Randomized Field Experiment,ACM EC '19: PROCEEDINGS OF THE 2019 ACM CONFERENCE ON ECONOMICS AND COMPUTATION,,,,,20th ACM Conference on Economics and Computation (ACM EC) held as part of the ACM Federated Computing Research Conference,"JUN 24-28, 2019","Phoenix, AZ","Assoc Comp Machinery, Assoc Comp Machinery Special Interest Grp Elect Commerce",,,,"Friendship formation is of central importance to online social network sites and to society, but can suffer from significant and unequal frictions. In this study, we demonstrate that social networks and policy makers may use an IT-facilitated intervention-displaying things in common (TIC) between users (mutual hometown, interest, education, work, city)-to encourage friendship formation, especially among people who are different from each other. Displaying TIC may update an individual's belief about the shared similarity with another and reduce information friction that may be hard to overcome in offline communication. In collaboration with an online social network, we design and implement a randomized field experiment, which randomly varies the prominence of different types of things in common information when a user (viewer) is browsing a non-friend's profile. The dyad-level exogenous variation, orthogonal to any (un)observed structural factors in viewer-profile's network, allows us to cleanly isolate the role of individuals' preference for TIC in driving network formation and homophily. We find that displaying TIC to viewers may significantly increase their probability of sending a friend request and forming a friendship, and is especially effective for pairs of people who have little in common. Such findings suggest that information intervention is a very effective and zero-cost approach to encourage the formation of weak ties, and also provide the first experimental evidence on the crucial role of individuals' preference (versus structural embeddedness) in network formation. We further demonstrate that displaying TIC could improve friendship formation for a wide range of viewers with different demographics and friendship status, and is more effective when the TIC information is more surprising to the viewer. Our study offers actionable insights to social networks and policy makers on the design of information intervention to encourage friendship formation and improve the diversity of the friendship, at both an aggregate and an individual level. (Full paper can be accessed at http://arxiv.org/abs/1905.02762.)(1)",,,,,,,,,,,,,,,,,,,978-1-4503-6792-9,,,,2019,,,,,,,455,455,,10.1145/3328526.3329612,,,,,,,WOS:000483848100051,,,,,
J,"DeAngelo, G; Gittings, RK; Pena, AA",,,,"DeAngelo, Gregory; Gittings, R. Kaj; Pena, Anita Alves",,,Interracial face-to-face crimes and the socioeconomics of neighborhoods: Evidence from policing records,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,,,,,,,,,,,,"Using a novel data set comprising the universe of reported crimes to the Los Angeles Police Department from 2000 to 2007, we examine race victimization patterns among face-to-face crimes at the neighborhood level. While some of our findings support previous work, others challenge previous research and general expectations about race and crime. Contrary to victimization patterns observed in the aggregate data, our panel data models identify consistent patterns of reported violence committed by White individuals against Blacks and Hispanics across neighborhoods. Specifically, in the presence of controls for neighborhood and time effects, Whites are more likely to assault and use weapons against Blacks and Hispanics than Blacks and Hispanics are to assault or use weapons against Whites. On the other hand, Blacks and Hispanics are typically more likely to commit robbery (crimes which we characterize as being often related to economic motives) against Whites than the reverse. We estimate these effects across the racial composition and earnings distribution of neighborhoods in Los Angeles County and find significant heterogeneity in the propensity for certain types of crimes to occur as a function of the race/ethnic match of suspect and victim. (C) 2018 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,0144-8188,1873-6394,,,,DEC,2018,56,,,,,,1,13,,10.1016/j.irle.2018.05.001,,,,,,,WOS:000454380800001,,,,,
J,"Frank, KA; Xu, R; Penuel, WR",,,,"Frank, Kenneth A.; Xu, Ran; Penuel, William R.",,,IMPLEMENTATION OF EVIDENCE-BASED PRACTICE IN HUMAN SERVICE ORGANIZATIONS: IMPLICATIONS FROM AGENT-BASED MODELS,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,,,,,,,,,,,,"Much of the impact of a policy depends on how it is implemented, especially as mediated by organizations such as schools or hospitals. Here, we focus on how implementation of evidence-based practices in human service organizations (e.g., schools, hospitals) is affected by intraorganizational network dynamics. In particular, we hypothesize intraorganizational behavioral divergence and network polarization are likely to occur when actors strongly identify with their organizations. Using agent-based models, we find that when organizational identification is high, external change agents who attempt to direct organizations by introducing policy aligned messages (e.g., professional development emphasizing specific teaching practices) may unintentionally contribute to divergence in practice and polarization in networks, inhibiting full implementation of the desired practices as well as reducing organizational capacity to absorb new practices. Thus, the external change agent should consider the interaction between the type of message and the intraorganizational network dynamics driven by organizational identification.",,,,,,,,,,,,,,,,,0276-8739,1520-6688,,,,FAL,2018,37,4,,,,,867,+,,10.1002/pam.22081,,,,,,,WOS:000444421100008,30272432,,,,
J,"Vasilaky, KN; Leonard, KL",,,,"Vasilaky, Kathryn N.; Leonard, Kenneth L.",,,As Good as the Networks They Keep? Improving Outcomes through Weak Ties in Rural Uganda,ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,,,,,,,,,,,,,,,,"Leonard, Kenneth L./F-9241-2011","Leonard, Kenneth L./0000-0002-0785-7774",,,,,,,,,,,,0013-0079,1539-2988,,,,JUL,2018,66,4,,,,,755,792,,10.1086/697430,,,,,,,WOS:000436984500004,,,,,
J,"Giulietti, C; Wahba, J; Zenou, Y",,,,"Giulietti, Corrado; Wahba, Jackline; Zenou, Yves",,,Strong versus weak ties in migration,EUROPEAN ECONOMIC REVIEW,,,,,,,,,,,,"This paper studies the role of strong versus weak ties in rural-to-urban migration decisions in China. We develop a network model that puts forward the different roles of weak and strong ties in helping workers to migrate to the city. We use unique longitudinal data that allow us to test our model by focusing on first-time migration. We address the endogeneity of weak ties using an instrumental variable procedure. Our results indicate that weak and strong ties provide different type of help and hence act as complements in the migration decision, with the interactive effect being particularly strong above a certain threshold of weak ties. (C) 2018 Elsevier B.V. All rights reserved.",,,,,"Zenou, Yves/0000-0001-6516-0812; Wahba, Jackline/0000-0002-0002-3443",,,,,,,,,,,,0014-2921,1873-572X,,,,MAY,2018,104,,,,,,111,137,,10.1016/j.euroecorev.2018.02.006,,,,,,,WOS:000432230400006,,,,,
J,"Slavkova, M",,,,"Slavkova, Magdalena",,,Religious and social commitment of the Bulgarian Roma migrants in Spain,LOCAL ECONOMY,,,,,,,,,,,,"This paper is configured as an ethnographic discussion on the religious and social ties of different Roma/Gypsy communities from Bulgaria within their post-socialist labour migrations to Spain. It aims to add new fieldwork results and interpretations to the lacuna of studies on the interrelations between faith and migration. Most publications show the specificity of Roma economic activities in the context of their migratory movements, but the role of religious network and its social commitment is a less analysed issue. Roma migrants have different religious profile and are Orthodox Christians, Muslims, or Evangelical Christians. Bearing in mind the religious landscapes in Bulgaria and Spain, which are predominantly Orthodox or Catholic, respectively, all migrant workers have left from an Orthodox home country and settled in a Catholic destination country. The text examines Roma mobility from the early 1990s until today. While settling in Spain, Roma/Gypsies present themselves to Spanish people as Bulgarians' and they are often recognised by them in this way. In the period prior to Bulgaria's accession to the European Union in 2007 most Roma migrants had no residence or work permits or neither. In some cases, they benefited from the services of the ""Caritas' Catholic organisation. However, they are not influenced by Catholicism as a faith and have only pragmatic aims in using its services. In this dynamic context, the social ties created on the basis of joining a particular religious community acquire importance for Evangelical believers, unlike the Orthodox Christians and the Muslims who rely on their family contacts mostly. Evangelical networks have a double accumulation effect and the believers employ both bridging and bonding social ties in producing their religious and social commitment. However, the social potential of the Evangelical networks is not fully used by Roma migrants in Spain.",,,,,,,,,,,,,,,,,0269-0942,1470-9325,,,,MAR,2018,33,2,,,,,224,241,,10.1177/0269094218762458,,,,,,,WOS:000432096600007,,,,,
J,"Crescenzi, R; Di Cataldo, M; Faggian, A",,,,"Crescenzi, Riccardo; Di Cataldo, Marco; Faggian, Alessandra",,,"Internationalized at work and localistic at home: The ""split' Europeanization behind Brexit",PAPERS IN REGIONAL SCIENCE,,,,,,,,,,,,This paper looks at the results of the referendum on the United Kingdom membership to the European Union in order to test the link between the internationalization of the local economy and the openness of the local society as factors associated with the Leave vote (Brexit). The paper compares a number of alternative explanations put forward in the public debate after the referendum. The empirical analysis suggests that the outcome of the referendum can be linked to an increasing tension between the ever increasing internationalization of local firms and the localistic' attitude of their employees. Brexit can be seen as the result of a process of split Europeanization' whereby Euroscepticism is triggered by the increasing mismatch between internationalized economies (and corporate economic interests) and localistic societies (and workers' attitudes and cultural preferences).,,,,"Faggian, Alessandra/K-8548-2019","Faggian, Alessandra/0000-0002-2479-2933; Di Cataldo, Marco/0000-0002-2808-1776",,,,,,,,,,,,1056-8190,1435-5957,,,,MAR,2018,97,1,,,SI,,117,+,,10.1111/pirs.12350,,,,,,,WOS:000424651700007,29576724,,,,
J,"Puga, I; Soto, D",,,,"Puga, Ismael; Soto, Daniela",,,SOCIAL CAPITAL AND WOMEN'S LABOR FORCE PARTICIPATION IN CHILE,FEMINIST ECONOMICS,,,,,,,,,,,,"Using data from Chile, this study analyzes the relationship between different forms of social capital and women's labor force participation, accounting for both endogeneity problems and differences among women of different economic strata. First, the results suggest that only some types of social capital are relevant for labor force participation: namely, networks with weaker yet far-reaching connections, including higher-status individuals. There are neither empirical nor theoretical reasons to believe that women have better access to such networks than men. Second, this type of social capital is only relevant for the economic integration of the richest women, failing to increase labor force participation among women of the other 80 percent of households. Thus, this study concludes that policies targeted at women's economic integration based on the presumption that women have more social capital than men are deeply flawed.",,,,,,,,,,,,,,,,,1354-5701,1466-4372,,,,,2018,24,4,,,,,131,158,,10.1080/13545701.2018.1481990,,,,,,,WOS:000449547600006,,,,,
