number,question
1,When did you move to Terrace Village?
2,"At the time you moved into the Village, did you know of any other place where you could have moved instead of the Village?"
3,"(a) Thinking back on when you first moved here, how long had you intended to stay?"(b) How long do you now expect to stay in the Village?
4,"If you were to move from Terrace Village, would you like to live in another housing project?"
5,"During the first few months after you moved here, what things about living in the Village especially caught your attention?"
6,Which community - Addison Terrace or any other place - do you think of as your real home - where you really belong?
7,Which seasons of the year do you like it best here in the Village?
8,Do you ever expect to own a home?
9,"All in all, which do you prefer living in, an apartment or a separate house?"
10,What would you say is the main reason for having Addison Hall here?
11,"When you first moved into the Village, did you meet any new people who were moving in at the same time?"
12,"(OTHER RACE) We are interested in knowing something about your experiences with (colored) (white) people before you moved to the Village. Will you tell me, as nearly as you remember:
(a) (OTHER RACE) Had you ever lived in the same neighborhood with (colored) (white) people before?
(b) (OTHER RACE) Since you left school, have you ever had any (colored) (white) friends?
(c) (OTHER RACE) Since leaving school, have you ever had any (colored) (white) acquaintances, people whom you know well enough to talk to, but whom you would not call friends?"
13,(OTHER RACE) Have you ever worked on a job with (colored) (white) people?
14,"(a) Which clubs or organisations have you ever belonged to in the Village? Have you ever taken part in any other activities, or committees, or hobby clubs, or anything else in the Village?
(b) Do you still belong to....(name of organisation or activity)
(c) How did you happen to join....(name of organisation or activity)
- did a friend get you in, did a group worker ask you, did you join on your own, or did it happen some other way?
(d) Have you ever been an officer or had a hand in starting any of these organisations or activities?"
15,(OTHER RACE) Have there been (colored) (white) people in any of these?
16,"(a) Which of these comes nearer to what actually happened in your case -- that your friends got you into organisations or activities here in the Village, or that you meet your friends through the organisations? 
(b) Have you gotten any new interests, or have you learned anything new through being in activities here in the Village?"
17,Have you been asked to take part in any community activities here in the Village?
18,"(a) What clubs or organisations -- or other activities -- have you ever belonged to outside of the Village?
(b) About when did you join....(Name of each)? What year?
(c) Are you still a member of....(Name of each)? (IF NOT) When did you drop out?
(d) How did you happen to join....(Name of each)? Did a friend get you in, did you join on your own, or did it happen some other way?
(e) Have you ever been an officer, or have you ever had a hand in starting any organisation or other activity outside the Village?
(f) Which ones were you an officer in, and what years were you an officer?"
19,(OTHER RACE) Have there been any colored (white) people in any of these?
20,Do you think there are more or fewer organisations in the Village than where you lived before?
21,"(a) How do organizations and activities usually get started here in the Village?
(b) By and large, who runs organisations in the Village, once they get started?"
22,"Apart from paying the rent, about how often do you go to Addison Hall to spend some time? Often, occasionally, or never?"
23,"Have you ever taken part in any organisations or activities here in the Village, and then dropped out of them?"
24,
25,Do you think colored and white people should live together in housing projects?
26,"On the whole, do you think that colored and white in the Village get along pretty well, or not so well?"
27,Do you feel that colored and white in the Village are getting along better or worse now than when you first came here?
28,(OTHER RACE) Have you talked with any colored (white) people about how white and colored get along here in the Village?
29,"(WHITES): How would you say the colored residents feel about living in the same community with whites?
(NEGROES): How would you say the white residents feel about living in the same community with colored people?"
30,"By and large, do you think that the Gentiles are more favorable to living with colored people than the Jews, or not so favorable?"
31,"(a) Compared to the number of white residents, about how many colored residents are there in Addison Terrace? Are there mostly colored, about the same, or mostly white?
(b) Do you think the number of colored and white residents in the Village will change in the future?"
32,(OTHER RACE) How does living in the same community with (colored) (white) people compare with what you first expected?
33,"Compared with places where you've lived before, do you feel that the rent you're paying is high for what you're getting, quite low, or about right?"
33,"What do you think of the idea of people paying higher rent when their income goes up, and lower rent when their income goes down?"
34,"If you had an extra hour a day in which you could do anything you liked, what would you do with it?"
35,"When your friends or relatives from outside heard you were moving to the Village, what did they say about it?"
36,Is it easier or harder to make friends in the Village than in the neighborhood where you lived before?
